Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,51.119999,51.349998,50.320000,50.580002,45.003036,19200
2011-02-01,50.880001,55.410000,50.880001,53.669998,47.752342,179500
2011-03-01,53.040001,54.520000,49.930000,53.000000,47.156208,699500
2011-04-01,53.000000,54.480000,51.029999,54.480000,48.515419,45500
2011-05-01,54.480000,54.480000,52.090000,54.040001,48.123608,35500
2011-06-01,53.810001,53.810001,48.099998,51.549999,45.906212,47800
2011-07-01,51.650002,53.430000,47.070000,47.070000,41.998432,37700
2011-08-01,47.630001,47.630001,38.439999,43.240002,38.581097,124200
2011-09-01,42.860001,43.080002,38.430000,38.630001,34.467796,31100
2011-10-01,37.180000,44.029999,37.180000,43.150002,38.589558,122300
2011-11-01,41.860001,44.340000,40.189999,42.270000,37.802567,110500
2011-12-01,42.369999,43.330002,39.630001,41.799999,37.382244,86100
2012-01-01,43.000000,45.320000,41.400002,44.099998,39.536591,71900
2012-02-01,44.860001,47.700001,44.860001,46.860001,42.010979,40000
2012-03-01,46.459999,47.150002,44.279999,46.720001,41.885475,138200
2012-04-01,46.410000,46.860001,43.939999,43.970001,39.470875,120200
2012-05-01,43.889999,44.060001,39.070000,39.150002,35.144077,19600
2012-06-01,39.410000,40.889999,38.610001,40.169998,36.059696,27200
2012-07-01,41.200001,41.669998,38.540001,40.770000,36.734261,8900
2012-08-01,40.959999,44.689999,40.959999,43.439999,39.139961,12700
2012-09-01,43.330002,46.700001,43.209999,45.150002,40.680695,29200
2012-10-01,45.349998,45.369999,42.270000,42.840000,38.687664,18700
2012-11-01,42.660000,44.419998,41.160000,44.419998,40.114517,33500
2012-12-01,44.810001,46.900002,44.209999,45.200001,40.818913,48200
2013-01-01,46.570000,47.580002,46.049999,46.939999,43.427574,13500
2013-02-01,46.939999,47.880001,45.279999,45.279999,41.891781,8700
2013-03-01,45.279999,46.590000,45.049999,45.750000,42.326618,14800
2013-04-01,45.750000,48.380001,44.040001,46.910000,43.399826,33500
2013-05-01,46.389999,50.599998,45.799999,48.750000,45.102139,69500
2013-06-01,46.610001,49.299999,46.610001,48.630001,44.991119,84300
2013-07-01,49.209999,62.490002,47.000000,51.470001,47.618603,34900
2013-08-01,51.570000,52.549999,49.529999,50.060001,46.314106,26600
2013-09-01,52.790001,54.639999,50.060001,52.150002,48.247715,28600
2013-10-01,52.799999,54.880001,51.230000,52.730000,48.784313,42900
2013-11-01,52.310001,53.250000,51.619999,53.169998,49.191391,65800
2013-12-01,52.639999,56.599998,51.380001,55.330002,51.189758,273900
2014-01-01,55.009998,57.500000,54.820000,55.730000,51.801498,67700
2014-02-01,54.750000,60.849998,53.070000,56.570000,52.582287,189400
2014-03-01,55.849998,58.240002,55.619999,57.060001,53.037758,171900
2014-04-01,57.619999,58.470001,53.430000,54.480000,50.743282,59800
2014-05-01,54.980000,56.169998,53.279999,55.930000,52.093826,50900
2014-06-01,55.419998,57.570000,55.279999,56.759998,52.866894,217600
2014-07-01,57.520000,57.570000,55.189999,55.730000,52.046032,88100
2014-08-01,55.590000,57.240002,54.740002,57.020000,53.250763,186700
2014-09-01,57.459999,58.650002,55.160000,55.320000,51.663136,210800
2014-10-01,54.290001,56.959999,49.490002,56.959999,53.328758,237900
2014-11-01,57.340000,58.090000,56.299999,58.049999,54.349270,352300
2014-12-01,57.180000,58.660000,55.220001,57.740002,54.059032,254300
2015-01-01,57.820000,57.820000,55.220001,56.070000,52.658642,107700
2015-02-01,55.599998,60.490002,55.410000,60.459999,56.781544,1181400
2015-03-01,60.459999,60.759998,57.669998,58.389999,54.837486,428800
2015-04-01,58.330002,61.090000,58.060001,59.049999,55.589474,371900
2015-05-01,59.520000,60.169998,58.020000,59.900002,56.389664,233500
2015-06-01,60.099998,61.040001,57.250000,57.529999,54.158543,914500
2015-07-01,58.770000,58.770000,55.480000,58.099998,54.883736,524400
2015-08-01,57.750000,58.439999,52.930000,55.480000,52.408772,651300
2015-09-01,54.919998,56.320000,51.849998,52.919998,49.990486,254200
2015-10-01,52.919998,58.470001,52.230000,57.540001,54.545380,115100
2015-11-01,57.849998,58.669998,55.830002,57.799999,54.791843,73400
2015-12-01,57.799999,58.369999,54.500000,56.220001,53.294071,80400
2016-01-01,54.560001,55.119999,47.389999,50.299999,47.880039,136100
2016-02-01,50.150002,55.090000,47.029999,54.680000,52.049313,193200
2016-03-01,54.630001,57.330002,54.189999,57.099998,54.352886,347000
2016-04-01,56.689999,58.230000,55.610001,56.910000,54.344009,169300
2016-05-01,56.700001,58.290001,55.099998,58.180000,55.556747,86200
2016-06-01,58.430000,59.430000,54.610001,57.950001,55.337124,63000
2016-07-01,58.480000,62.740002,57.020000,62.160000,59.544292,71600
2016-08-01,62.160000,63.680000,61.090000,63.259998,60.598007,97900
2016-09-01,63.459999,67.080002,62.770000,65.660004,62.897018,177700
2016-10-01,65.360001,67.080002,63.090000,63.529999,61.026875,174600
2016-11-01,63.240002,69.120003,61.930000,67.639999,64.974930,272500
2016-12-01,67.610001,73.230003,66.300003,69.339996,66.607948,399200
2017-01-01,69.900002,73.160004,69.199997,70.900002,68.327255,601800
2017-02-01,71.349998,74.279999,69.910004,71.000000,68.423615,661900
2017-03-01,71.029999,72.919998,68.889999,70.959999,68.385071,359300
2017-04-01,71.099998,72.070000,68.839996,70.699997,68.352928,235600
2017-05-01,71.050003,71.570000,68.529999,70.809998,68.459267,369300
2017-06-01,71.370003,74.639999,70.269997,70.699997,68.352928,136500
2017-07-01,71.080002,73.680000,69.570000,71.860001,69.727142,277400
2017-08-01,71.940002,72.809998,68.000000,70.269997,68.184341,408800
2017-09-01,70.459999,70.489998,67.709999,69.730003,67.660378,147100
2017-10-01,69.930000,71.559998,68.139999,69.160004,67.481857,148300
2017-11-01,69.360001,70.800003,65.099998,70.519997,68.808846,284900
2017-12-01,70.500000,70.820000,67.760002,68.320000,66.662247,175900
2018-01-01,68.660004,72.000000,68.650002,70.099998,68.945389,1172200
2018-02-01,69.930000,71.169998,65.269997,69.019997,67.883179,325200
2018-03-01,69.080002,74.860001,67.870003,68.879997,67.745483,647800
2018-04-01,68.830002,72.209999,66.660004,69.900002,69.072838,750400
2018-05-01,69.739998,71.919998,68.449997,70.730003,69.893021,437200
2018-06-01,70.870003,74.540001,70.849998,72.290001,71.434555,166500
2018-07-01,71.730003,75.800003,70.730003,71.360001,70.920547,621600
2018-08-01,70.959999,77.410004,70.959999,77.040001,76.565567,880200
2018-09-01,76.870003,77.269997,74.699997,76.230003,75.760559,897900
2018-10-01,76.500000,76.500000,66.459999,70.120003,69.908051,715200
2018-11-01,70.900002,73.750000,67.309998,70.720001,70.506233,428300
2018-12-01,73.629997,73.629997,58.680000,62.759998,62.570293,414100
2019-01-01,61.720001,68.449997,61.660000,68.440002,68.440002,630400
2019-02-01,68.510002,73.930000,67.410004,72.239998,72.239998,143400
2019-03-01,72.349998,72.830002,68.879997,70.709999,70.709999,261600
