Date,Open,High,Low,Close,Adj Close,Volume
2014-12-01,24.440001,24.480000,24.308001,24.440001,22.802933,2300
2015-01-01,23.980000,25.601999,23.563999,24.709999,23.054850,41800
2015-02-01,24.870001,25.440001,24.700001,25.350000,23.651981,60600
2015-03-01,25.292000,25.309999,23.981001,25.125000,23.442053,38100
2015-04-01,25.290001,27.139999,25.290001,26.510000,24.734282,21000
2015-05-01,26.580000,26.698999,25.572001,25.572001,23.859112,25600
2015-06-01,25.559999,25.559999,24.010000,24.030001,22.420401,80900
2015-07-01,24.292000,24.292000,22.580000,22.700001,21.664204,12400
2015-08-01,22.700001,22.700001,19.790001,20.280001,19.354626,11100
2015-09-01,20.124001,21.030001,19.270000,19.520000,18.629305,52200
2015-10-01,19.520000,22.180000,19.520000,21.670000,20.839750,91500
2015-11-01,21.900000,22.309999,21.200001,21.270000,20.455076,1600
2015-12-01,21.270000,21.270000,18.510000,20.430000,19.647261,5200
2016-01-01,20.430000,20.430000,18.000000,18.580000,17.941950,4200
2016-02-01,19.250999,19.290001,18.320000,19.250000,18.588940,11300
2016-03-01,19.790001,20.940001,19.280001,20.940001,20.220900,5200
2016-04-01,21.230000,22.030001,21.230000,21.430000,20.694075,4600
2016-05-01,21.430000,21.430000,19.889999,20.549999,19.844294,3000
2016-06-01,20.590000,21.330000,20.370001,20.370001,19.670479,15100
2016-07-01,20.370001,22.400000,20.370001,22.289000,21.574362,1400
2016-08-01,22.289000,23.360001,21.969999,22.997999,22.260633,14300
2016-09-01,22.580000,23.740000,22.580000,23.139999,22.398077,9100
2016-10-01,23.139999,23.469000,22.549999,23.150000,22.564224,17100
2016-11-01,23.150000,23.150000,21.635000,21.635000,21.087557,2100
2016-12-01,21.635000,22.360001,21.260000,21.490000,20.946228,15300
2017-01-01,21.490000,22.870001,21.490000,22.870001,22.393478,600
2017-02-01,22.870001,23.969999,22.870001,23.959999,23.460766,2900
2017-03-01,23.950001,25.125999,23.600000,25.125999,24.602472,7600
2017-04-01,25.125999,25.400000,24.610001,25.320000,24.792431,1100
2017-05-01,25.600000,26.761000,25.480000,26.370001,25.820555,36600
2017-06-01,26.469999,27.530001,26.450001,26.940001,26.378679,84500
2017-07-01,27.059999,28.889999,26.759001,28.705999,28.128668,452300
2017-08-01,28.920000,29.500000,27.980000,29.260000,28.671528,181500
2017-09-01,29.520000,30.441000,29.139999,29.590000,28.994892,183700
2017-10-01,29.559999,30.809999,29.559999,30.620001,30.075520,116600
2017-11-01,30.959999,32.310001,30.530001,31.080000,30.527338,800100
2017-12-01,30.738001,32.099998,30.139999,31.850000,31.283646,199500
2018-01-01,32.200001,35.099998,32.200001,34.334999,33.849869,1089600
2018-02-01,33.990002,34.169998,30.511999,32.619999,32.159100,1720700
2018-03-01,32.750000,33.869999,31.590000,32.338001,31.881086,756700
2018-04-01,32.240002,32.348999,30.801001,31.320000,30.877470,1701700
2018-05-01,31.129999,32.009998,30.570000,30.879999,30.443686,750400
2018-06-01,31.049999,31.959999,28.600000,29.379999,28.964880,1194400
2018-07-01,28.860001,30.261000,28.840000,29.930000,29.614985,875700
2018-08-01,29.760000,29.820000,27.466999,29.010000,28.704668,533100
2018-09-01,28.650000,28.792999,27.150000,28.250000,27.952667,1176500
2018-10-01,28.340000,28.400000,24.320999,25.370001,25.281721,3415500
2018-11-01,25.799999,26.990000,25.309999,26.770000,26.676849,2221400
2018-12-01,27.500000,27.500000,24.993999,25.559999,25.471060,4239300
2019-01-01,25.280001,28.280001,24.950001,28.250000,28.250000,1616900
2019-02-01,28.080000,28.940001,27.650000,28.230000,28.230000,2012600
2019-03-01,28.280001,28.770000,27.620001,28.700001,28.700001,482200
2019-03-15,28.530001,28.769899,28.530001,28.700001,28.700001,42227
